family_key,count,avg_T,sum_T,avg_runtime_sec,max_runtime_sec,nonzero_T_count,high_T_count,instances
medium/3bay/highproc/runtime-risk,1,11120.0,11120.0,47.079,47.079,1,1,prob_38
medium/4bay/highproc/runtime-risk,1,8429.0,8429.0,55.449,55.449,1,1,prob_40
small/2bay/highproc/runtime-risk,1,5541.0,5541.0,46.198,46.198,1,1,prob_27
small/3bay/midproc/runtime-risk,1,3805.0,3805.0,45.75,45.75,1,1,prob_33
medium/3bay/lowproc/runtime-risk,2,3741.0,7482.0,55.171,57.66,2,2,"prob_37,prob_39"
small/3bay/lowproc/runtime-risk,1,2992.0,2992.0,50.085,50.085,1,0,prob_32
small/4bay/highproc/runtime-risk,1,2735.0,2735.0,53.953,53.953,1,0,prob_31
small/2bay/highproc/runtime-mid,1,2089.0,2089.0,32.113,32.113,1,0,prob_25
medium/4bay/lowproc/runtime-mid,1,2010.0,2010.0,44.184,44.184,1,0,prob_36
small/4bay/midproc/runtime-mid,1,1595.0,1595.0,38.605,38.605,1,0,prob_34
small/2bay/midproc/runtime-safe,1,1497.0,1497.0,18.872,18.872,1,0,prob_23
small/3bay/midproc/runtime-mid,3,1260.333,3781.0,27.256,31.426,3,0,"prob_24,prob_26,prob_28"
small/3bay/highproc/runtime-safe,1,664.0,664.0,10.497,10.497,1,0,prob_21
small/3bay/lowproc/runtime-mid,4,511.75,2047.0,32.043,36.351,4,0,"prob_6,prob_9,prob_29,prob_35"
small/2bay/lowproc/runtime-safe,5,469.4,2347.0,14.134,22.07,4,0,"prob_1,prob_4,prob_8,prob_22,prob_30"
small/4bay/lowproc/runtime-safe,3,375.333,1126.0,13.362,18.507,3,0,"prob_10,prob_11,prob_12"
medium/5bay/lowproc/runtime-mid,1,283.0,283.0,37.563,37.563,1,0,prob_20
medium/4bay/lowproc/runtime-safe,7,248.857,1742.0,16.675,22.861,5,0,"prob_13,prob_14,prob_15,prob_16,prob_17,prob_18,prob_19"
small/3bay/lowproc/runtime-safe,4,0.0,0.0,19.695,24.172,0,0,"prob_2,prob_3,prob_5,prob_7"
