instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_1.json,100,2,606628.0,8.0,1700,1810.0,16.220620,true,false,true,true,,reboot_v267_direct,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\report.html,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\solutions\hh_v267_direct__reboot_v267_direct\prob_1.solution.json
prob_1.json,100,2,606628.0,8.0,1700,1810.0,22.624675,true,false,true,true,,baseline_hh_v280_cmp,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\report.html,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\solutions\hh_active__baseline_hh_v280_cmp\prob_1.solution.json
prob_6.json,150,3,715812.0,7.0,1936,3299.0,34.523424,true,false,true,true,,reboot_v267_direct,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\report.html,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\solutions\hh_v267_direct__reboot_v267_direct\prob_6.solution.json
prob_6.json,150,3,577115.0,7.0,1815,2380.0,30.327778,true,false,true,true,,baseline_hh_v280_cmp,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\report.html,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\solutions\hh_active__baseline_hh_v280_cmp\prob_6.solution.json
prob_9.json,200,3,180488.0,1.0,1391,1068.0,36.227543,true,false,true,true,,reboot_v267_direct,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\report.html,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\solutions\hh_v267_direct__reboot_v267_direct\prob_9.solution.json
prob_9.json,200,3,237200.0,0.0,1090,1545.0,27.543334,true,false,true,true,,baseline_hh_v280_cmp,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\report.html,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\solutions\hh_active__baseline_hh_v280_cmp\prob_9.solution.json
prob_11.json,200,4,8364652.0,351.0,366,2551.0,42.925502,true,false,true,true,,reboot_v267_direct,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\report.html,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\solutions\hh_v267_direct__reboot_v267_direct\prob_11.solution.json
prob_11.json,200,4,8364652.0,351.0,366,2551.0,42.872084,true,false,true,true,,baseline_hh_v280_cmp,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\report.html,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\solutions\hh_active__baseline_hh_v280_cmp\prob_11.solution.json
prob_13.json,250,4,9876799.0,498.0,4384,4433.0,35.451125,true,false,true,true,,reboot_v267_direct,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\report.html,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\solutions\hh_v267_direct__reboot_v267_direct\prob_13.solution.json
prob_13.json,250,4,9876799.0,498.0,4384,4433.0,35.527916,true,false,true,true,,baseline_hh_v280_cmp,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\report.html,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\solutions\hh_active__baseline_hh_v280_cmp\prob_13.solution.json
prob_14.json,250,4,3777938.0,180.0,3301,4221.0,56.114126,true,false,true,true,,reboot_v267_direct,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\report.html,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\solutions\hh_v267_direct__reboot_v267_direct\prob_14.solution.json
prob_14.json,250,4,3795716.0,181.0,3301,4221.0,54.029688,true,false,true,true,,baseline_hh_v280_cmp,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\report.html,reports\ogc2026_reboot_v001\compare_v267_direct_v280_publish_20260628_001\solutions\hh_active__baseline_hh_v280_cmp\prob_14.solution.json
