instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_32.json,200,3,13118978.0,3076.0,2614,4756.0,45.403392,true,false,true,true,,reboot_v065_20260618_1735_threebay_diffuse_single_research,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\report.html,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\solutions\v065__reboot_v065_20260618_1735_threebay_diffuse_single_research\prob_32.solution.json
prob_32.json,200,3,13118978.0,3076.0,2614,4756.0,48.242078,true,false,true,true,,reboot_v081_20260619_1948_prob33like_runtime_flatten,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\report.html,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\solutions\v081__reboot_v081_20260619_1948_prob33like_runtime_flatten\prob_32.solution.json
prob_32.json,200,3,13118978.0,3076.0,2614,4756.0,56.235702,true,false,true,true,,reboot_v150_20260620_2315_prob33like_thin_gap_on_v142,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\report.html,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\solutions\v150__reboot_v150_20260620_2315_prob33like_thin_gap_on_v142\prob_32.solution.json
prob_32.json,200,3,13118978.0,3076.0,2614,4756.0,39.282462,true,false,true,true,,reboot_v152_20260621_runtime_backlog_direct_flatten_on_v151,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\report.html,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\solutions\v152__reboot_v152_20260621_runtime_backlog_direct_flatten_on_v151\prob_32.solution.json
prob_33.json,200,3,56592732.0,8366.0,1486,5345.0,57.676375,true,false,true,true,,reboot_v065_20260618_1735_threebay_diffuse_single_research,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\report.html,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\solutions\v065__reboot_v065_20260618_1735_threebay_diffuse_single_research\prob_33.solution.json
prob_33.json,200,3,56592732.0,8366.0,1486,5345.0,59.475123,true,false,true,true,,reboot_v081_20260619_1948_prob33like_runtime_flatten,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\report.html,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\solutions\v081__reboot_v081_20260619_1948_prob33like_runtime_flatten\prob_33.solution.json
prob_33.json,200,3,44627150.0,6580.0,1099,4982.0,60.605617,true,true,false,false,runtime exceeded official_limit 60.000000s,reboot_v150_20260620_2315_prob33like_thin_gap_on_v142,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\report.html,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\solutions\v150__reboot_v150_20260620_2315_prob33like_thin_gap_on_v142\prob_33.solution.json
prob_33.json,200,3,31433403.0,4599.0,672,5101.0,64.268563,true,true,false,false,runtime exceeded official_limit 60.000000s,reboot_v152_20260621_runtime_backlog_direct_flatten_on_v151,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\report.html,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\solutions\v152__reboot_v152_20260621_runtime_backlog_direct_flatten_on_v151\prob_33.solution.json
prob_37.json,250,3,48388149.0,13085.0,10461,7890.0,81.929825,true,true,false,false,runtime exceeded official_limit 60.000000s,reboot_v065_20260618_1735_threebay_diffuse_single_research,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\report.html,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\solutions\v065__reboot_v065_20260618_1735_threebay_diffuse_single_research\prob_37.solution.json
prob_37.json,250,3,,,,,90.027506,false,true,false,false,subprocess timeout after 90.0s,reboot_v081_20260619_1948_prob33like_runtime_flatten,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\report.html,
prob_37.json,250,3,,,,,90.044930,false,true,false,false,subprocess timeout after 90.0s,reboot_v150_20260620_2315_prob33like_thin_gap_on_v142,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\report.html,
prob_37.json,250,3,24250060.0,5948.0,4144,7348.0,43.042301,true,false,true,true,,reboot_v152_20260621_runtime_backlog_direct_flatten_on_v151,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\report.html,reports\ogc2026_reboot_v001\diag_reboot_v159_prob33family_20260621_001\solutions\v152__reboot_v152_20260621_runtime_backlog_direct_flatten_on_v151\prob_37.solution.json
