instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_1.json,100,2,606628.0,8.0,1700,1810.0,22.524436,true,false,true,true,,v298_direct_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh_active__v298_direct_full\prob_1.solution.json
prob_1.json,100,2,606628.0,8.0,1700,1810.0,22.729765,true,false,true,true,,v304_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh__v304_full\prob_1.solution.json
prob_2.json,100,3,51940.0,0.0,814,292.0,15.633270,true,false,true,true,,v298_direct_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh_active__v298_direct_full\prob_2.solution.json
prob_2.json,100,3,51940.0,0.0,814,292.0,15.861993,true,false,true,true,,v304_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh__v304_full\prob_2.solution.json
prob_3.json,100,3,156780.0,0.0,1998,912.0,13.855117,true,false,true,true,,v298_direct_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh_active__v298_direct_full\prob_3.solution.json
prob_3.json,100,3,156780.0,0.0,1998,912.0,14.342542,true,false,true,true,,v304_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh__v304_full\prob_3.solution.json
prob_4.json,100,2,331591.0,6.0,1669,942.0,17.144120,true,false,true,true,,v298_direct_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh_active__v298_direct_full\prob_4.solution.json
prob_4.json,100,2,331591.0,6.0,1669,942.0,17.632576,true,false,true,true,,v304_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh__v304_full\prob_4.solution.json
prob_5.json,150,3,139455.0,0.0,1065,880.0,17.414652,true,false,true,true,,v298_direct_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh_active__v298_direct_full\prob_5.solution.json
prob_5.json,150,3,139455.0,0.0,1065,880.0,17.563095,true,false,true,true,,v304_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh__v304_full\prob_5.solution.json
prob_6.json,150,3,577115.0,7.0,1815,2380.0,29.524956,true,false,true,true,,v298_direct_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh_active__v298_direct_full\prob_6.solution.json
prob_6.json,150,3,577115.0,7.0,1815,2380.0,29.903964,true,false,true,true,,v304_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh__v304_full\prob_6.solution.json
prob_7.json,150,3,131191.0,0.0,3013,734.0,20.700423,true,false,true,true,,v298_direct_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh_active__v298_direct_full\prob_7.solution.json
prob_7.json,150,3,131191.0,0.0,3013,734.0,20.634743,true,false,true,true,,v304_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh__v304_full\prob_7.solution.json
prob_8.json,150,2,74968.0,0.0,1142,352.0,12.583724,true,false,true,true,,v298_direct_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh_active__v298_direct_full\prob_8.solution.json
prob_8.json,150,2,74968.0,0.0,1142,352.0,12.721377,true,false,true,true,,v304_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh__v304_full\prob_8.solution.json
prob_9.json,200,3,237200.0,0.0,1090,1545.0,27.031732,true,false,true,true,,v298_direct_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh_active__v298_direct_full\prob_9.solution.json
prob_9.json,200,3,237200.0,0.0,1090,1545.0,27.240744,true,false,true,true,,v304_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh__v304_full\prob_9.solution.json
prob_10.json,200,4,1274865.0,66.0,2577,2232.0,23.112601,true,false,true,true,,v298_direct_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh_active__v298_direct_full\prob_10.solution.json
prob_10.json,200,4,1274865.0,66.0,2577,2232.0,23.419779,true,false,true,true,,v304_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh__v304_full\prob_10.solution.json
prob_11.json,200,4,8164735.0,342.0,415,2592.0,46.846136,true,false,true,true,,v298_direct_full,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_compare_v304_vs_v298_train40_20260629_001\solutions\hh_active__v298_direct_full\prob_11.solution.json
