instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_1.json,100,2,606628.0,8.0,1700,1810.0,26.512450,true,false,true,true,,v315_active_surface,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\active__v315_active_surface\prob_1.solution.json
prob_1.json,100,2,606628.0,8.0,1700,1810.0,22.708538,true,false,true,true,,v317_prob13_only_window_multiblock,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\hh__v317_prob13_only_window_multiblock\prob_1.solution.json
prob_2.json,100,3,51940.0,0.0,814,292.0,16.132991,true,false,true,true,,v315_active_surface,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\active__v315_active_surface\prob_2.solution.json
prob_2.json,100,3,51940.0,0.0,814,292.0,16.132275,true,false,true,true,,v317_prob13_only_window_multiblock,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\hh__v317_prob13_only_window_multiblock\prob_2.solution.json
prob_3.json,100,3,156780.0,0.0,1998,912.0,14.346768,true,false,true,true,,v315_active_surface,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\active__v315_active_surface\prob_3.solution.json
prob_3.json,100,3,156780.0,0.0,1998,912.0,14.714793,true,false,true,true,,v317_prob13_only_window_multiblock,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\hh__v317_prob13_only_window_multiblock\prob_3.solution.json
prob_4.json,100,2,331591.0,6.0,1669,942.0,17.846084,true,false,true,true,,v315_active_surface,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\active__v315_active_surface\prob_4.solution.json
prob_4.json,100,2,331591.0,6.0,1669,942.0,17.497153,true,false,true,true,,v317_prob13_only_window_multiblock,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\hh__v317_prob13_only_window_multiblock\prob_4.solution.json
prob_5.json,150,3,139455.0,0.0,1065,880.0,18.357768,true,false,true,true,,v315_active_surface,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\active__v315_active_surface\prob_5.solution.json
prob_5.json,150,3,139455.0,0.0,1065,880.0,17.685676,true,false,true,true,,v317_prob13_only_window_multiblock,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\hh__v317_prob13_only_window_multiblock\prob_5.solution.json
prob_6.json,150,3,577115.0,7.0,1815,2380.0,31.529171,true,false,true,true,,v315_active_surface,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\active__v315_active_surface\prob_6.solution.json
prob_6.json,150,3,577115.0,7.0,1815,2380.0,30.129736,true,false,true,true,,v317_prob13_only_window_multiblock,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\hh__v317_prob13_only_window_multiblock\prob_6.solution.json
prob_7.json,150,3,131191.0,0.0,3013,734.0,21.186474,true,false,true,true,,v315_active_surface,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\active__v315_active_surface\prob_7.solution.json
prob_7.json,150,3,131191.0,0.0,3013,734.0,20.900914,true,false,true,true,,v317_prob13_only_window_multiblock,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\hh__v317_prob13_only_window_multiblock\prob_7.solution.json
prob_8.json,150,2,74968.0,0.0,1142,352.0,12.551816,true,false,true,true,,v315_active_surface,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\active__v315_active_surface\prob_8.solution.json
prob_8.json,150,2,74968.0,0.0,1142,352.0,12.532645,true,false,true,true,,v317_prob13_only_window_multiblock,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\hh__v317_prob13_only_window_multiblock\prob_8.solution.json
prob_9.json,200,3,237200.0,0.0,1090,1545.0,28.010474,true,false,true,true,,v315_active_surface,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\active__v315_active_surface\prob_9.solution.json
prob_9.json,200,3,237200.0,0.0,1090,1545.0,27.897552,true,false,true,true,,v317_prob13_only_window_multiblock,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\hh__v317_prob13_only_window_multiblock\prob_9.solution.json
prob_10.json,200,4,943557.0,43.0,2601,2255.0,34.697529,true,false,true,true,,v315_active_surface,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\active__v315_active_surface\prob_10.solution.json
prob_10.json,200,4,943557.0,43.0,2601,2255.0,34.388670,true,false,true,true,,v317_prob13_only_window_multiblock,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\hh__v317_prob13_only_window_multiblock\prob_10.solution.json
prob_11.json,200,4,8501698.0,358.0,317,2381.0,57.823869,true,false,true,true,,v315_active_surface,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\active__v315_active_surface\prob_11.solution.json
prob_11.json,200,4,7986128.0,334.0,414,2624.0,55.898137,true,false,true,true,,v317_prob13_only_window_multiblock,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\hh__v317_prob13_only_window_multiblock\prob_11.solution.json
prob_12.json,200,4,553078.0,8.0,6633,2491.0,26.041556,true,false,true,true,,v315_active_surface,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\active__v315_active_surface\prob_12.solution.json
prob_12.json,200,4,553078.0,8.0,6633,2491.0,25.014909,true,false,true,true,,v317_prob13_only_window_multiblock,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\report.html,reports\ogc2026_reboot_v001\full_compare_v317_vs_active_train40_20260630_001\solutions\hh__v317_prob13_only_window_multiblock\prob_12.solution.json
