instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_1.json,100,2,606628.0,8.0,1700,1810.0,21.061141,true,false,true,true,,v195,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\report.html,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\solutions\trackA__v195\prob_1.solution.json
prob_2.json,100,3,76910.0,0.0,1001,446.0,21.612448,true,false,true,true,,v195,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\report.html,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\solutions\trackA__v195\prob_2.solution.json
prob_3.json,100,3,188500.0,0.0,1225,1175.0,17.687176,true,false,true,true,,v195,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\report.html,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\solutions\trackA__v195\prob_3.solution.json
prob_4.json,100,2,331591.0,6.0,1669,942.0,15.440380,true,false,true,true,,v195,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\report.html,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\solutions\trackA__v195\prob_4.solution.json
prob_5.json,150,3,169685.0,0.0,1505,1061.0,24.882803,true,false,true,true,,v195,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\report.html,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\solutions\trackA__v195\prob_5.solution.json
prob_6.json,150,3,715812.0,7.0,1936,3299.0,33.724126,true,false,true,true,,v195,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\report.html,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\solutions\trackA__v195\prob_6.solution.json
prob_7.json,150,3,242600.0,0.0,3200,1468.0,22.523768,true,false,true,true,,v195,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\report.html,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\solutions\trackA__v195\prob_7.solution.json
prob_8.json,150,2,85472.0,0.0,1068,406.0,10.670217,true,false,true,true,,v195,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\report.html,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\solutions\trackA__v195\prob_8.solution.json
prob_9.json,200,3,180488.0,1.0,1391,1068.0,33.281576,true,false,true,true,,v195,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\report.html,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\solutions\trackA__v195\prob_9.solution.json
prob_10.json,200,4,1552011.0,85.0,2595,2237.0,15.185887,true,false,true,true,,v195,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\report.html,reports\ogc2026_reboot_v001\full_reboot_v195_train40_20260626_002\solutions\trackA__v195\prob_10.solution.json
