instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_1.json,100,2,606628.0,8.0,1700,1810.0,24.046984,true,false,true,true,,baseline_hh_v280_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh_active__baseline_hh_v280_full_direct\prob_1.solution.json
prob_1.json,100,2,606628.0,8.0,1700,1810.0,23.644214,true,false,true,true,,v290_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh__v290_full_direct\prob_1.solution.json
prob_2.json,100,3,51940.0,0.0,814,292.0,16.378325,true,false,true,true,,baseline_hh_v280_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh_active__baseline_hh_v280_full_direct\prob_2.solution.json
prob_2.json,100,3,51940.0,0.0,814,292.0,16.708900,true,false,true,true,,v290_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh__v290_full_direct\prob_2.solution.json
prob_3.json,100,3,156780.0,0.0,1998,912.0,13.930547,true,false,true,true,,baseline_hh_v280_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh_active__baseline_hh_v280_full_direct\prob_3.solution.json
prob_3.json,100,3,156780.0,0.0,1998,912.0,14.364578,true,false,true,true,,v290_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh__v290_full_direct\prob_3.solution.json
prob_4.json,100,2,331591.0,6.0,1669,942.0,17.798816,true,false,true,true,,baseline_hh_v280_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh_active__baseline_hh_v280_full_direct\prob_4.solution.json
prob_4.json,100,2,331591.0,6.0,1669,942.0,17.761987,true,false,true,true,,v290_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh__v290_full_direct\prob_4.solution.json
prob_5.json,150,3,139455.0,0.0,1065,880.0,17.842273,true,false,true,true,,baseline_hh_v280_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh_active__baseline_hh_v280_full_direct\prob_5.solution.json
prob_5.json,150,3,139455.0,0.0,1065,880.0,18.189487,true,false,true,true,,v290_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh__v290_full_direct\prob_5.solution.json
prob_6.json,150,3,577115.0,7.0,1815,2380.0,30.057066,true,false,true,true,,baseline_hh_v280_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh_active__baseline_hh_v280_full_direct\prob_6.solution.json
prob_6.json,150,3,577115.0,7.0,1815,2380.0,30.160412,true,false,true,true,,v290_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh__v290_full_direct\prob_6.solution.json
prob_7.json,150,3,131191.0,0.0,3013,734.0,20.950223,true,false,true,true,,baseline_hh_v280_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh_active__baseline_hh_v280_full_direct\prob_7.solution.json
prob_7.json,150,3,131191.0,0.0,3013,734.0,20.909179,true,false,true,true,,v290_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh__v290_full_direct\prob_7.solution.json
prob_8.json,150,2,74968.0,0.0,1142,352.0,12.364231,true,false,true,true,,baseline_hh_v280_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh_active__baseline_hh_v280_full_direct\prob_8.solution.json
prob_8.json,150,2,74968.0,0.0,1142,352.0,12.586984,true,false,true,true,,v290_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh__v290_full_direct\prob_8.solution.json
prob_9.json,200,3,237200.0,0.0,1090,1545.0,28.082097,true,false,true,true,,baseline_hh_v280_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh_active__baseline_hh_v280_full_direct\prob_9.solution.json
prob_9.json,200,3,237200.0,0.0,1090,1545.0,28.525945,true,false,true,true,,v290_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh__v290_full_direct\prob_9.solution.json
prob_10.json,200,4,1274865.0,66.0,2577,2232.0,24.261378,true,false,true,true,,baseline_hh_v280_full_direct,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\report.html,reports\ogc2026_reboot_v001\full_revalidate_v290_vs_active_train40_20260629_001\solutions\hh_active__baseline_hh_v280_full_direct\prob_10.solution.json
