instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_11.json,200,4,9011951.0,380.0,538,2425.0,43.403111,true,false,true,true,,reboot_v217_20260627_trackA_prob19_long_fourbay_repair_on_v212,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\report.html,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\solutions\hh__reboot_v217_20260627_trackA_prob19_long_fourbay_repair_on_v212\prob_11.solution.json
prob_11.json,200,4,8565801.0,360.0,607,2504.0,39.002623,true,false,true,true,,reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\report.html,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\solutions\hh__reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217\prob_11.solution.json
prob_13.json,250,4,10783287.0,547.0,4390,4394.0,37.788177,true,false,true,true,,reboot_v217_20260627_trackA_prob19_long_fourbay_repair_on_v212,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\report.html,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\solutions\hh__reboot_v217_20260627_trackA_prob19_long_fourbay_repair_on_v212\prob_13.solution.json
prob_13.json,250,4,10383916.0,526.0,4439,4327.0,33.208382,true,false,true,true,,reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\report.html,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\solutions\hh__reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217\prob_13.solution.json
prob_14.json,250,4,3901754.0,187.0,3707,4201.0,55.118723,true,false,true,true,,reboot_v217_20260627_trackA_prob19_long_fourbay_repair_on_v212,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\report.html,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\solutions\hh__reboot_v217_20260627_trackA_prob19_long_fourbay_repair_on_v212\prob_14.solution.json
prob_14.json,250,4,3795716.0,181.0,3301,4221.0,54.449704,true,false,true,true,,reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\report.html,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\solutions\hh__reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217\prob_14.solution.json
prob_20.json,300,5,5199740.0,164.0,3642,6436.0,55.626919,true,false,true,true,,reboot_v217_20260627_trackA_prob19_long_fourbay_repair_on_v212,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\report.html,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\solutions\hh__reboot_v217_20260627_trackA_prob19_long_fourbay_repair_on_v212\prob_20.solution.json
prob_20.json,300,5,5199740.0,164.0,3642,6436.0,51.121717,true,false,true,true,,reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\report.html,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\solutions\hh__reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217\prob_20.solution.json
prob_33.json,200,3,26172225.0,3805.0,1094,5289.0,50.060577,true,false,true,true,,reboot_v217_20260627_trackA_prob19_long_fourbay_repair_on_v212,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\report.html,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\solutions\hh__reboot_v217_20260627_trackA_prob19_long_fourbay_repair_on_v212\prob_33.solution.json
prob_33.json,200,3,26172225.0,3805.0,1094,5289.0,48.422884,true,false,true,true,,reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\report.html,reports\ogc2026_reboot_v001\probe_v217_v218_target_20260627_001\solutions\hh__reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217\prob_33.solution.json
