instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_1.json,100,2,606628.0,8.0,1700,1810.0,25.098676,true,false,true,true,,v298_direct_smoke,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\report.html,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\solutions\hh_active__v298_direct_smoke\prob_1.solution.json
prob_1.json,100,2,606628.0,8.0,1700,1810.0,22.757294,true,false,true,true,,v304_smoke,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\report.html,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\solutions\hh__v304_smoke\prob_1.solution.json
prob_6.json,150,3,577115.0,7.0,1815,2380.0,29.630224,true,false,true,true,,v298_direct_smoke,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\report.html,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\solutions\hh_active__v298_direct_smoke\prob_6.solution.json
prob_6.json,150,3,577115.0,7.0,1815,2380.0,29.586983,true,false,true,true,,v304_smoke,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\report.html,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\solutions\hh__v304_smoke\prob_6.solution.json
prob_10.json,200,4,1274865.0,66.0,2577,2232.0,23.589169,true,false,true,true,,v298_direct_smoke,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\report.html,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\solutions\hh_active__v298_direct_smoke\prob_10.solution.json
prob_10.json,200,4,1274865.0,66.0,2577,2232.0,23.608458,true,false,true,true,,v304_smoke,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\report.html,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\solutions\hh__v304_smoke\prob_10.solution.json
prob_11.json,200,4,8164735.0,342.0,415,2592.0,47.338075,true,false,true,true,,v298_direct_smoke,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\report.html,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\solutions\hh_active__v298_direct_smoke\prob_11.solution.json
prob_11.json,200,4,8164735.0,342.0,415,2592.0,46.910445,true,false,true,true,,v304_smoke,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\report.html,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\solutions\hh__v304_smoke\prob_11.solution.json
prob_13.json,250,4,9695535.0,488.0,4623,4460.0,36.739007,true,false,true,true,,v298_direct_smoke,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\report.html,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\solutions\hh_active__v298_direct_smoke\prob_13.solution.json
prob_13.json,250,4,9583645.0,482.0,4438,4465.0,38.794721,true,false,true,true,,v304_smoke,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\report.html,reports\ogc2026_reboot_v001\smoke_compare_v304_vs_v298_20260629_001\solutions\hh__v304_smoke\prob_13.solution.json
