instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_1.json,100,2,9394149.0,309.0,2090,1952.0,32.468525,true,false,true,true,,v158_direct,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v158_direct\prob_1.solution.json
prob_1.json,100,2,4396550.0,138.0,1656,1852.0,29.826876,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_1.solution.json
prob_6.json,150,3,34053978.0,1131.0,3714,3443.0,48.766831,true,false,true,true,,v158_direct,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v158_direct\prob_6.solution.json
prob_6.json,150,3,34053978.0,1131.0,3714,3443.0,51.140035,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_6.solution.json
prob_11.json,200,4,17207513.0,739.0,406,2356.0,21.716472,true,false,true,true,,v158_direct,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v158_direct\prob_11.solution.json
prob_11.json,200,4,17206722.0,739.0,407,2350.0,20.747478,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_11.solution.json
prob_13.json,250,4,17775043.0,923.0,4390,4366.0,28.859890,true,false,true,true,,v158_direct,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v158_direct\prob_13.solution.json
prob_13.json,250,4,17775043.0,923.0,4390,4366.0,29.105116,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_13.solution.json
prob_19.json,300,4,4715671.0,389.0,7089,4044.0,32.180107,true,false,true,true,,v158_direct,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v158_direct\prob_19.solution.json
prob_19.json,300,4,4715273.0,389.0,7056,4042.0,32.988673,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_19.solution.json
prob_25.json,100,2,1499211.0,2159.0,278,2944.0,55.494349,true,false,true,true,,v158_direct,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v158_direct\prob_25.solution.json
prob_25.json,100,2,1499211.0,2159.0,278,2944.0,56.632959,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_25.solution.json
prob_27.json,150,2,78787221.0,5735.0,2033,5796.0,58.141338,true,false,true,true,,v158_direct,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v158_direct\prob_27.solution.json
prob_27.json,150,2,78787221.0,5735.0,2033,5796.0,55.656228,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_27.solution.json
prob_33.json,200,3,159070997.0,23731.0,2287,5557.0,66.453199,true,true,false,false,runtime exceeded official_limit 60.000000s,v158_direct,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v158_direct\prob_33.solution.json
prob_33.json,200,3,99106198.0,14714.0,2441,6557.0,46.410707,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_33.solution.json
prob_38.json,250,3,1100342367.0,82307.0,5918,9771.0,50.075287,true,false,true,true,,v158_direct,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v158_direct\prob_38.solution.json
prob_38.json,250,3,911128161.0,68115.0,8883,9777.0,52.280686,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_38.solution.json
prob_40.json,250,4,14578721.0,21620.0,7069,11624.0,54.254045,true,false,true,true,,v158_direct,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v158_direct\prob_40.solution.json
prob_40.json,250,4,14409049.0,21362.0,8833,11674.0,55.408810,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v168_tier10_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_40.solution.json
