instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_1.json,100,2,606628.0,8.0,1700,1810.0,16.528880,true,false,true,true,,v186,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\solutions\active__v186\prob_1.solution.json
prob_1.json,100,2,606628.0,8.0,1700,1810.0,15.467909,true,false,true,true,,v194,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\solutions\trackA__v194\prob_1.solution.json
prob_6.json,150,3,715812.0,7.0,1936,3299.0,31.914490,true,false,true,true,,v186,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\solutions\active__v186\prob_6.solution.json
prob_6.json,150,3,715812.0,7.0,1936,3299.0,33.626444,true,false,true,true,,v194,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\solutions\trackA__v194\prob_6.solution.json
prob_10.json,200,4,3425698.0,214.0,2563,2219.0,12.489842,true,false,true,true,,v186,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\solutions\active__v186\prob_10.solution.json
prob_10.json,200,4,1697461.0,95.0,2595,2237.0,12.876831,true,false,true,true,,v194,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\solutions\trackA__v194\prob_10.solution.json
prob_11.json,200,4,15527141.0,665.0,407,2439.0,14.792178,true,false,true,true,,v186,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\solutions\active__v186\prob_11.solution.json
prob_11.json,200,4,11154452.0,473.0,487,2554.0,14.791781,true,false,true,true,,v194,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\solutions\trackA__v194\prob_11.solution.json
prob_12.json,200,4,684586.0,14.0,6633,2491.0,21.980771,true,false,true,true,,v186,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\solutions\active__v186\prob_12.solution.json
prob_12.json,200,4,553078.0,8.0,6633,2491.0,23.282496,true,false,true,true,,v194,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\report.html,reports\ogc2026_reboot_v001\smoke_reboot_v194_trackA_20260626_001\solutions\trackA__v194\prob_12.solution.json
