instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_1.json,100,2,606628.0,8.0,1700,1810.0,19.202116,true,false,true,true,,reboot_v267_fallbacksnapshot,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\report.html,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\solutions\baseline_hh__reboot_v267_fallbacksnapshot\prob_1.solution.json
prob_6.json,150,3,715812.0,7.0,1936,3299.0,34.024242,true,false,true,true,,reboot_v267_fallbacksnapshot,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\report.html,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\solutions\baseline_hh__reboot_v267_fallbacksnapshot\prob_6.solution.json
prob_11.json,200,4,8151757.0,342.0,233,2504.0,41.686705,true,false,true,true,,reboot_v267_fallbacksnapshot,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\report.html,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\solutions\baseline_hh__reboot_v267_fallbacksnapshot\prob_11.solution.json
prob_13.json,250,4,9876799.0,498.0,4384,4433.0,35.350888,true,false,true,true,,reboot_v267_fallbacksnapshot,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\report.html,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\solutions\baseline_hh__reboot_v267_fallbacksnapshot\prob_13.solution.json
prob_14.json,250,4,3777938.0,180.0,3301,4221.0,56.404983,true,false,true,true,,reboot_v267_fallbacksnapshot,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\report.html,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\solutions\baseline_hh__reboot_v267_fallbacksnapshot\prob_14.solution.json
prob_19.json,300,4,2008665.0,134.0,6535,4159.0,37.589700,true,false,true,true,,reboot_v267_fallbacksnapshot,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\report.html,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\solutions\baseline_hh__reboot_v267_fallbacksnapshot\prob_19.solution.json
prob_20.json,300,5,5199740.0,164.0,3642,6436.0,55.958511,true,false,true,true,,reboot_v267_fallbacksnapshot,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\report.html,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\solutions\baseline_hh__reboot_v267_fallbacksnapshot\prob_20.solution.json
prob_25.json,100,2,1454484.0,2089.0,241,3044.0,32.555855,true,false,true,true,,reboot_v267_fallbacksnapshot,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\report.html,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\solutions\baseline_hh__reboot_v267_fallbacksnapshot\prob_25.solution.json
prob_27.json,150,2,75028700.0,5456.0,1926,5700.0,45.685849,true,false,true,true,,reboot_v267_fallbacksnapshot,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\report.html,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\solutions\baseline_hh__reboot_v267_fallbacksnapshot\prob_27.solution.json
prob_33.json,200,3,26172225.0,3805.0,1094,5289.0,38.274923,true,false,true,true,,reboot_v267_fallbacksnapshot,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\report.html,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\solutions\baseline_hh__reboot_v267_fallbacksnapshot\prob_33.solution.json
prob_38.json,250,3,151254848.0,11120.0,3894,9947.0,55.962014,true,false,true,true,,reboot_v267_fallbacksnapshot,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\report.html,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\solutions\baseline_hh__reboot_v267_fallbacksnapshot\prob_38.solution.json
prob_40.json,250,4,5780789.0,8429.0,4947,11823.0,55.605301,true,false,true,true,,reboot_v267_fallbacksnapshot,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\report.html,reports\ogc2026_reboot_v001\smoke_v267_trackA_spatial_fallbacksnapshot_20260628_001\solutions\baseline_hh__reboot_v267_fallbacksnapshot\prob_40.solution.json
