family_key,count,avg_T,sum_T,avg_runtime_sec,max_runtime_sec,nonzero_T_count,high_T_count,instances
medium/4bay/lowproc/runtime-risk,1,8429.0,8429.0,55.449,55.449,1,1,prob_40
medium/3bay/lowproc/runtime-risk,3,6200.667,18602.0,52.474,57.66,3,3,"prob_37,prob_38,prob_39"
small/2bay/lowproc/runtime-risk,1,5541.0,5541.0,46.198,46.198,1,1,prob_27
small/3bay/lowproc/runtime-risk,2,3398.5,6797.0,47.917,50.085,2,1,"prob_32,prob_33"
small/4bay/lowproc/runtime-risk,1,2735.0,2735.0,53.953,53.953,1,0,prob_31
small/2bay/lowproc/runtime-mid,1,2089.0,2089.0,32.113,32.113,1,0,prob_25
medium/4bay/lowproc/runtime-mid,1,2010.0,2010.0,44.184,44.184,1,0,prob_36
small/4bay/lowproc/runtime-mid,1,1595.0,1595.0,38.605,38.605,1,0,prob_34
small/3bay/lowproc/runtime-mid,7,832.571,5828.0,29.992,36.351,7,0,"prob_6,prob_9,prob_24,prob_26,prob_28,prob_29,prob_35"
small/2bay/lowproc/runtime-safe,6,640.667,3844.0,14.924,22.07,5,0,"prob_1,prob_4,prob_8,prob_22,prob_23,prob_30"
small/4bay/lowproc/runtime-safe,3,375.333,1126.0,13.362,18.507,3,0,"prob_10,prob_11,prob_12"
medium/5bay/lowproc/runtime-mid,1,283.0,283.0,37.563,37.563,1,0,prob_20
medium/4bay/lowproc/runtime-safe,7,248.857,1742.0,16.675,22.861,5,0,"prob_13,prob_14,prob_15,prob_16,prob_17,prob_18,prob_19"
small/3bay/lowproc/runtime-safe,5,132.8,664.0,17.855,24.172,1,0,"prob_2,prob_3,prob_5,prob_7,prob_21"
