instance,instance_num,tier,blocks,bays,objective,T,L,P,runtime_sec,accepted_for_score,block_tier,proc_tier,pref_tier,runtime_tier,slack_tier,workload_tier,t_pressure,family_key,subtype,proc_mean,proc_std,proc_max,release_span,slack_mean,slack_min,slack_q10,slack_q25,slack_std,work_mean,work_std,pref_concentration,pref_gap_mean,strong_pref_ratio,bay_area_mean,bay_area_total
prob_1,1,tier_01_04,100,2,693901.0,11.0,1700.0,1810.0,12.645361,true,small,lowproc,moderate,runtime-safe,tight,work-mixed,low-T,small/2bay/lowproc/runtime-safe,small/2bay/lowproc/moderate/runtime-safe/tight/low-T,7.35,2.094636006565341,11.0,42.0,1.43,0.0,0.0,0.0,1.2104131526053408,90.1,106.6977506791966,0.51,56.04,0.57,996.0,1992.0
prob_2,2,tier_01_04,100,3,76910.0,0.0,1001.0,446.0,18.309887,true,small,lowproc,diffuse,runtime-safe,tight,work-stable,T-zero,small/3bay/lowproc/runtime-safe,small/3bay/lowproc/diffuse/runtime-safe/tight/T-zero,7.39,2.1396027668705235,11.0,43.0,1.59,0.0,0.0,1.0,1.2735383779062177,77.66,91.62600285945032,0.37,47.33,0.5,1460.6666666666667,4382.0
prob_3,3,tier_01_04,100,3,188500.0,0.0,1225.0,1175.0,15.413626,true,small,lowproc,diffuse,runtime-safe,tight,work-mixed,T-zero,small/3bay/lowproc/runtime-safe,small/3bay/lowproc/diffuse/runtime-safe/tight/T-zero,7.6,1.9026297590440449,12.0,47.0,1.31,0.0,0.0,0.0,1.3091600360536522,83.65,102.12074960555275,0.38,49.87,0.46,2474.6666666666665,7424.0
prob_4,4,tier_01_04,100,2,387915.0,8.0,1853.0,998.0,10.128236,true,small,lowproc,moderate,runtime-safe,tight,work-stable,low-T,small/2bay/lowproc/runtime-safe,small/2bay/lowproc/moderate/runtime-safe/tight/low-T,7.55,1.840516231930596,13.0,57.0,1.2,0.0,0.0,0.0,1.174734012447073,75.82,75.65214868065546,0.51,66.02,0.68,2891.0,5782.0
prob_5,5,tier_05_08,150,3,169685.0,0.0,1505.0,1061.0,20.882323,true,small,lowproc,diffuse,runtime-safe,tight,work-mixed,T-zero,small/3bay/lowproc/runtime-safe,small/3bay/lowproc/diffuse/runtime-safe/tight/T-zero,7.62,2.140622962286135,12.0,78.0,1.5466666666666666,0.0,0.0,0.0,1.2940204360398984,95.19333333333333,172.45686211017784,0.38,43.28666666666667,0.38666666666666666,1957.3333333333333,5872.0
prob_6,6,tier_05_08,150,3,756030.0,9.0,1980.0,3170.0,29.077613,true,small,lowproc,diffuse,runtime-mid,tight,work-stable,low-T,small/3bay/lowproc/runtime-mid,small/3bay/lowproc/diffuse/runtime-mid/tight/low-T,7.586666666666667,1.9906001328465968,12.0,42.0,1.4933333333333334,0.0,0.0,1.0,1.170451005192253,96.42,98.90279874705266,0.35333333333333333,50.96666666666667,0.58,2732.6666666666665,8198.0
prob_7,7,tier_05_08,150,3,242600.0,0.0,3200.0,1468.0,24.172181,true,small,lowproc,diffuse,runtime-safe,tight,work-stable,T-zero,small/3bay/lowproc/runtime-safe,small/3bay/lowproc/diffuse/runtime-safe/tight/T-zero,7.586666666666667,1.9737837323836223,13.0,70.0,1.5266666666666666,0.0,0.0,1.0,1.2580231405750144,77.62666666666667,81.95482875069385,0.34,45.86666666666667,0.46,1625.3333333333333,4876.0
prob_8,8,tier_05_08,150,2,85472.0,0.0,1068.0,406.0,11.187194,true,small,lowproc,moderate,runtime-safe,tight,work-stable,T-zero,small/2bay/lowproc/runtime-safe,small/2bay/lowproc/moderate/runtime-safe/tight/T-zero,7.1866666666666665,1.7296884754840167,12.0,125.0,1.3466666666666667,0.0,0.0,0.0,1.1194443065894595,71.72,81.64052261795813,0.5066666666666667,62.10666666666667,0.6666666666666666,2933.0,5866.0
prob_9,9,tier_09_12,200,3,180488.0,1.0,1391.0,1068.0,33.865586,true,small,lowproc,diffuse,runtime-mid,tight,work-stable,low-T,small/3bay/lowproc/runtime-mid,small/3bay/lowproc/diffuse/runtime-mid/tight/low-T,7.45,1.9306734576307822,12.0,94.0,1.255,0.0,0.0,0.0,1.1313598013010715,85.49,74.05227815536804,0.375,46.09,0.425,3123.0,9369.0
prob_10,10,tier_09_12,200,4,5648556.0,367.0,2563.0,2200.0,11.308949,true,small,lowproc,diffuse,runtime-safe,tight,work-mixed,low-T,small/4bay/lowproc/runtime-safe,small/4bay/lowproc/diffuse/runtime-safe/tight/low-T,7.695,2.0376395657721216,12.0,86.0,1.545,0.0,0.0,1.0,1.1991559531603886,97.175,104.58424534794904,0.295,35.545,0.295,1653.25,6613.0
prob_11,11,tier_09_12,200,4,17206722.0,739.0,407.0,2350.0,10.270317,true,small,lowproc,diffuse,runtime-safe,tight,work-stable,mid-T,small/4bay/lowproc/runtime-safe,small/4bay/lowproc/diffuse/runtime-safe/tight/mid-T,7.695,2.030264761059503,12.0,55.0,1.285,0.0,0.0,0.0,1.2098656950256916,78.78,73.84207201859927,0.26,35.16,0.285,3431.75,13727.0
prob_12,12,tier_09_12,200,4,824431.0,20.0,7577.0,2504.0,18.507383,true,small,lowproc,diffuse,runtime-safe,tight,work-mixed,low-T,small/4bay/lowproc/runtime-safe,small/4bay/lowproc/diffuse/runtime-safe/tight/low-T,7.44,2.0582516852902124,12.0,57.0,1.365,0.0,0.0,0.0,1.2968326800323935,100.505,173.98307381754123,0.295,36.885,0.295,1938.0,7752.0
prob_13,13,tier_13_16,250,4,17775043.0,923.0,4390.0,4366.0,11.255635,true,medium,lowproc,diffuse,runtime-safe,tight,work-stable,mid-T,medium/4bay/lowproc/runtime-safe,medium/4bay/lowproc/diffuse/runtime-safe/tight/mid-T,7.72,2.1451340284467078,12.0,67.0,1.28,0.0,0.0,0.0,1.177115117564973,84.564,78.96149633840534,0.276,37.676,0.3,2719.0,10876.0
prob_14,14,tier_13_16,250,4,6413830.0,329.0,3621.0,4111.0,22.860821,true,medium,lowproc,diffuse,runtime-safe,tight,work-stable,low-T,medium/4bay/lowproc/runtime-safe,medium/4bay/lowproc/diffuse/runtime-safe/tight/low-T,7.528,1.9393854696784751,11.0,70.0,1.548,0.0,0.0,1.0,1.2392320202447966,77.86,86.87236844935218,0.304,34.404,0.276,2231.0,8924.0
prob_15,15,tier_13_16,250,4,1787797.0,88.0,3476.0,3509.0,18.90543,true,medium,lowproc,diffuse,runtime-safe,tight,work-mixed,low-T,medium/4bay/lowproc/runtime-safe,medium/4bay/lowproc/diffuse/runtime-safe/tight/low-T,7.416,1.9806423200568042,12.0,85.0,1.416,0.0,0.0,0.0,1.3034354606193588,86.268,103.1478365066374,0.272,38.044,0.312,2410.0,9640.0
prob_16,16,tier_13_16,250,4,176817.0,0.0,2938.0,1219.0,11.842784,true,medium,lowproc,diffuse,runtime-safe,tight,work-stable,T-zero,medium/4bay/lowproc/runtime-safe,medium/4bay/lowproc/diffuse/runtime-safe/tight/T-zero,7.728,1.936495804281538,12.0,141.0,1.56,0.0,0.0,0.25,1.23547561691844,84.12,97.11387954355443,0.308,38.096,0.336,2703.75,10815.0
prob_17,17,tier_17_20,300,4,338183.0,13.0,5749.0,1422.0,17.158359,true,medium,lowproc,diffuse,runtime-safe,tight,work-stable,low-T,medium/4bay/lowproc/runtime-safe,medium/4bay/lowproc/diffuse/runtime-safe/tight/low-T,7.566666666666666,2.0669354663903325,12.0,129.0,1.4433333333333334,0.0,0.0,0.0,1.2675917674428503,82.97,94.93276094162647,0.2633333333333333,40.53666666666667,0.38333333333333336,2594.25,10377.0
prob_18,18,tier_17_20,300,4,264994.0,0.0,3406.0,1890.0,22.033817,true,medium,lowproc,diffuse,runtime-safe,tight,work-stable,T-zero,medium/4bay/lowproc/runtime-safe,medium/4bay/lowproc/diffuse/runtime-safe/tight/T-zero,7.566666666666666,1.9576062480034697,12.0,94.0,1.3666666666666667,0.0,0.0,0.0,1.165713896669714,86.77666666666667,95.40908476426947,0.30666666666666664,37.593333333333334,0.2966666666666667,1962.25,7849.0
prob_19,19,tier_17_20,300,4,4715273.0,389.0,7056.0,4042.0,12.670568,true,medium,lowproc,diffuse,runtime-safe,tight,work-stable,low-T,medium/4bay/lowproc/runtime-safe,medium/4bay/lowproc/diffuse/runtime-safe/tight/low-T,7.38,2.008880285133985,12.0,117.0,1.4433333333333334,0.0,0.0,0.0,1.2111106014270079,71.24333333333334,69.77275582600673,0.28,37.52,0.32,2555.75,10223.0
prob_20,20,tier_17_20,300,5,8371363.0,283.0,3642.0,6422.0,37.562866,true,medium,lowproc,diffuse,runtime-mid,tight,work-stable,low-T,medium/5bay/lowproc/runtime-mid,medium/5bay/lowproc/diffuse/runtime-mid/tight/low-T,7.413333333333333,1.9345513404634391,12.0,47.0,1.5666666666666667,0.0,0.0,1.0,1.2215654801205795,85.47666666666667,94.86623629558036,0.20666666666666667,29.573333333333334,0.20666666666666667,2552.6,12763.0
prob_21,21,tier_21_25,100,3,9383482.0,664.0,522.0,3501.0,10.497373,true,small,lowproc,concentrated,runtime-safe,tight,work-mixed,mid-T,small/3bay/lowproc/runtime-safe,small/3bay/lowproc/concentrated/runtime-safe/tight/mid-T,22.08,4.967252761839284,30.0,47.0,5.22,0.0,1.0,3.0,3.5002285639655017,115.53,116.61513237997889,0.71,59.6,0.61,3379.0,10137.0
prob_22,22,tier_21_25,100,2,1837996.0,26.0,2446.0,3710.0,14.639141,true,small,lowproc,concentrated,runtime-safe,tight,work-stable,low-T,small/2bay/lowproc/runtime-safe,small/2bay/lowproc/concentrated/runtime-safe/tight/low-T,11.15,2.7581696829600606,17.0,47.0,2.35,0.0,0.0,1.0,1.8131464364468746,96.98,97.10643439031216,0.81,75.32,0.78,2599.5,5199.0
prob_23,23,tier_21_25,100,2,20686068.0,1497.0,35.0,1940.0,18.872315,true,small,lowproc,moderate,runtime-safe,tight,work-volatile,mid-T,small/2bay/lowproc/runtime-safe,small/2bay/lowproc/moderate/runtime-safe/tight/mid-T,16.36,3.761701742562799,24.0,46.0,3.32,0.0,0.0,2.0,2.0488045294756647,115.88,211.83674279973246,0.62,63.26,0.65,2525.0,5050.0
prob_24,24,tier_21_25,100,3,2981583.0,166.0,1381.0,2538.0,31.425893,true,small,lowproc,moderate,runtime-mid,tight,work-mixed,low-T,small/3bay/lowproc/runtime-mid,small/3bay/lowproc/moderate/runtime-mid/tight/low-T,16.66,3.7688725104465925,24.0,47.0,3.95,0.0,0.0,2.0,2.669737814842499,103.74,150.89404362001835,0.58,45.21,0.41,2114.0,6342.0
prob_25,25,tier_21_25,100,2,1454484.0,2089.0,241.0,3044.0,32.113198,true,small,lowproc,moderate,runtime-mid,tight,work-stable,mid-T,small/2bay/lowproc/runtime-mid,small/2bay/lowproc/moderate/runtime-mid/tight/mid-T,21.58,4.781589693815228,31.0,47.0,5.37,0.0,1.0,2.75,3.410733059035843,89.96,85.67705877304613,0.61,62.16,0.66,3040.0,6080.0
prob_26,26,tier_26_30,150,3,31708207.0,2305.0,2556.0,6385.0,25.166827,true,small,lowproc,concentrated,runtime-mid,tight,work-mixed,mid-T,small/3bay/lowproc/runtime-mid,small/3bay/lowproc/concentrated/runtime-mid/tight/mid-T,16.92,3.704987629309082,23.0,47.0,3.8466666666666667,0.0,1.0,2.0,2.57095745243328,124.23333333333333,130.51040401268995,0.7733333333333333,62.873333333333335,0.68,2354.0,7062.0
