instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_25.json,100,2,1798973.0,2609.0,730,2902.0,50.382009,true,false,true,true,,v158_direct,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\report.html,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\solutions\hh__v158_direct\prob_25.solution.json
prob_25.json,100,2,1499211.0,2159.0,278,2944.0,50.611413,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\report.html,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_25.solution.json
prob_27.json,150,2,78787221.0,5735.0,2033,5796.0,55.355360,true,false,true,true,,v158_direct,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\report.html,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\solutions\hh__v158_direct\prob_27.solution.json
prob_27.json,150,2,77480587.0,5637.0,2033,5796.0,74.008792,true,true,false,false,runtime exceeded official_limit 60.000000s,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\report.html,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_27.solution.json
prob_31.json,200,4,310854644.0,23075.0,9861,11858.0,44.428647,true,false,true,true,,v158_direct,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\report.html,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\solutions\hh__v158_direct\prob_31.solution.json
prob_31.json,200,4,200043171.0,14766.0,8946,11765.0,44.139007,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\report.html,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_31.solution.json
prob_32.json,200,3,16119470.0,3890.0,2980,5232.0,43.435737,true,false,true,true,,v158_direct,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\report.html,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\solutions\hh__v158_direct\prob_32.solution.json
prob_32.json,200,3,14498408.0,3436.0,3004,5052.0,43.098386,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\report.html,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_32.solution.json
prob_33.json,200,3,75146886.0,11148.0,1137,5412.0,62.475389,true,true,false,false,runtime exceeded official_limit 60.000000s,v158_direct,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\report.html,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\solutions\hh__v158_direct\prob_33.solution.json
prob_33.json,200,3,39938437.0,5841.0,1789,6524.0,46.577817,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\report.html,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_33.solution.json
prob_38.json,250,3,827168422.0,61818.0,8864,9771.0,49.948762,true,false,true,true,,v158_direct,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\report.html,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\solutions\hh__v158_direct\prob_38.solution.json
prob_38.json,250,3,662283744.0,49442.0,8429,10189.0,50.596380,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\report.html,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_38.solution.json
prob_39.json,250,3,145091141.0,10777.0,1975,9290.0,56.404371,true,false,true,true,,v158_direct,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\report.html,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\solutions\hh__v158_direct\prob_39.solution.json
prob_39.json,250,3,136012133.0,10097.0,1983,9206.0,56.752460,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\report.html,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_39.solution.json
prob_40.json,250,4,8393616.0,12351.0,7832,11359.0,53.792471,true,false,true,true,,v158_direct,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\report.html,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\solutions\hh__v158_direct\prob_40.solution.json
prob_40.json,250,4,9402073.0,13853.0,9723,11723.0,53.759755,true,false,true,true,,v168_coupled_runtime_slices,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\report.html,reports\ogc2026_reboot_v001\target_reboot_v168_coupled_runtime_20260621_001\solutions\hh__v168_coupled_runtime_slices\prob_40.solution.json
