instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_10.json,200,4,1274865.0,66.0,2577,2232.0,23.607269,true,false,true,true,,baseline_hh_v212_official,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\solutions\active__baseline_hh_v212_official\prob_10.solution.json
prob_10.json,200,4,1274865.0,66.0,2577,2232.0,23.172903,true,false,true,true,,reboot_v212_20260627_trackA_reserved_specialist_budget_on_v210,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\solutions\direct__reboot_v212_20260627_trackA_reserved_specialist_budget_on_v210\prob_10.solution.json
prob_11.json,200,4,8761210.0,369.0,522,2431.0,37.800952,true,false,true,true,,baseline_hh_v212_official,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\solutions\active__baseline_hh_v212_official\prob_11.solution.json
prob_11.json,200,4,8761210.0,369.0,522,2431.0,37.710344,true,false,true,true,,reboot_v212_20260627_trackA_reserved_specialist_budget_on_v210,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\solutions\direct__reboot_v212_20260627_trackA_reserved_specialist_budget_on_v210\prob_11.solution.json
prob_14.json,250,4,3795716.0,181.0,3301,4221.0,54.121460,true,false,true,true,,baseline_hh_v212_official,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\solutions\active__baseline_hh_v212_official\prob_14.solution.json
prob_14.json,250,4,3795716.0,181.0,3301,4221.0,53.352606,true,false,true,true,,reboot_v212_20260627_trackA_reserved_specialist_budget_on_v210,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\solutions\direct__reboot_v212_20260627_trackA_reserved_specialist_budget_on_v210\prob_14.solution.json
prob_19.json,300,4,2325874.0,164.0,6533,4138.0,34.562665,true,false,true,true,,baseline_hh_v212_official,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\solutions\active__baseline_hh_v212_official\prob_19.solution.json
prob_19.json,300,4,2325874.0,164.0,6533,4138.0,34.749073,true,false,true,true,,reboot_v212_20260627_trackA_reserved_specialist_budget_on_v210,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\solutions\direct__reboot_v212_20260627_trackA_reserved_specialist_budget_on_v210\prob_19.solution.json
prob_20.json,300,5,5199740.0,164.0,3642,6436.0,52.434508,true,false,true,true,,baseline_hh_v212_official,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\solutions\active__baseline_hh_v212_official\prob_20.solution.json
prob_20.json,300,5,5199740.0,164.0,3642,6436.0,50.817505,true,false,true,true,,reboot_v212_20260627_trackA_reserved_specialist_budget_on_v210,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\solutions\direct__reboot_v212_20260627_trackA_reserved_specialist_budget_on_v210\prob_20.solution.json
prob_33.json,200,3,26172225.0,3805.0,1094,5289.0,54.380760,true,false,true,true,,baseline_hh_v212_official,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\solutions\active__baseline_hh_v212_official\prob_33.solution.json
prob_33.json,200,3,26172225.0,3805.0,1094,5289.0,49.422050,true,false,true,true,,reboot_v212_20260627_trackA_reserved_specialist_budget_on_v210,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\solutions\direct__reboot_v212_20260627_trackA_reserved_specialist_budget_on_v210\prob_33.solution.json
prob_38.json,250,3,151254848.0,11120.0,3894,9947.0,55.852205,true,false,true,true,,baseline_hh_v212_official,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\solutions\active__baseline_hh_v212_official\prob_38.solution.json
prob_38.json,250,3,151254848.0,11120.0,3894,9947.0,55.718209,true,false,true,true,,reboot_v212_20260627_trackA_reserved_specialist_budget_on_v210,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\solutions\direct__reboot_v212_20260627_trackA_reserved_specialist_budget_on_v210\prob_38.solution.json
prob_40.json,250,4,5780789.0,8429.0,4947,11823.0,55.348713,true,false,true,true,,baseline_hh_v212_official,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\solutions\active__baseline_hh_v212_official\prob_40.solution.json
prob_40.json,250,4,5780789.0,8429.0,4947,11823.0,55.361175,true,false,true,true,,reboot_v212_20260627_trackA_reserved_specialist_budget_on_v210,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v212_baseline_hh_20260627_001\solutions\direct__reboot_v212_20260627_trackA_reserved_specialist_budget_on_v210\prob_40.solution.json
