instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_10.json,200,4,1274865.0,66.0,2577,2232.0,27.209458,true,false,true,true,,reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\solutions\direct__reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217\prob_10.solution.json
prob_10.json,200,4,1274865.0,66.0,2577,2232.0,22.444350,true,false,true,true,,baseline_hh,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\solutions\wrapper__baseline_hh\prob_10.solution.json
prob_11.json,200,4,8565801.0,360.0,607,2504.0,39.950014,true,false,true,true,,reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\solutions\direct__reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217\prob_11.solution.json
prob_11.json,200,4,8565801.0,360.0,607,2504.0,39.106953,true,false,true,true,,baseline_hh,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\solutions\wrapper__baseline_hh\prob_11.solution.json
prob_13.json,250,4,10383916.0,526.0,4439,4327.0,33.161843,true,false,true,true,,reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\solutions\direct__reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217\prob_13.solution.json
prob_13.json,250,4,10383916.0,526.0,4439,4327.0,33.089106,true,false,true,true,,baseline_hh,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\solutions\wrapper__baseline_hh\prob_13.solution.json
prob_14.json,250,4,3795716.0,181.0,3301,4221.0,54.155264,true,false,true,true,,reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\solutions\direct__reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217\prob_14.solution.json
prob_14.json,250,4,3901754.0,187.0,3707,4201.0,55.016536,true,false,true,true,,baseline_hh,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\solutions\wrapper__baseline_hh\prob_14.solution.json
prob_19.json,300,4,2253753.0,157.0,6638,4154.0,36.596733,true,false,true,true,,reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\solutions\direct__reboot_v218_20260627_trackA_dense_fourbay_deep_chain_on_v217\prob_19.solution.json
prob_19.json,300,4,2253753.0,157.0,6638,4154.0,37.087004,true,false,true,true,,baseline_hh,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\report.html,reports\ogc2026_reboot_v001\verify_active_v218_baseline_hh_file_20260627_001\solutions\wrapper__baseline_hh\prob_19.solution.json
