instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_1.json,100,2,606628.0,8.0,1700,1810.0,23.021735,true,false,true,true,,baseline_hh_v305,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\solutions\wrapper__baseline_hh_v305\prob_1.solution.json
prob_1.json,100,2,606628.0,8.0,1700,1810.0,22.470200,true,false,true,true,,v304_direct,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\solutions\direct__v304_direct\prob_1.solution.json
prob_2.json,100,3,51940.0,0.0,814,292.0,16.364941,true,false,true,true,,baseline_hh_v305,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\solutions\wrapper__baseline_hh_v305\prob_2.solution.json
prob_2.json,100,3,51940.0,0.0,814,292.0,16.344168,true,false,true,true,,v304_direct,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\solutions\direct__v304_direct\prob_2.solution.json
prob_3.json,100,3,156780.0,0.0,1998,912.0,14.196336,true,false,true,true,,baseline_hh_v305,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\solutions\wrapper__baseline_hh_v305\prob_3.solution.json
prob_3.json,100,3,156780.0,0.0,1998,912.0,14.095483,true,false,true,true,,v304_direct,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\solutions\direct__v304_direct\prob_3.solution.json
prob_4.json,100,2,331591.0,6.0,1669,942.0,17.475827,true,false,true,true,,baseline_hh_v305,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\solutions\wrapper__baseline_hh_v305\prob_4.solution.json
prob_4.json,100,2,331591.0,6.0,1669,942.0,17.458739,true,false,true,true,,v304_direct,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\solutions\direct__v304_direct\prob_4.solution.json
prob_5.json,150,3,139455.0,0.0,1065,880.0,17.580524,true,false,true,true,,baseline_hh_v305,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\solutions\wrapper__baseline_hh_v305\prob_5.solution.json
prob_5.json,150,3,139455.0,0.0,1065,880.0,17.614547,true,false,true,true,,v304_direct,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\solutions\direct__v304_direct\prob_5.solution.json
prob_6.json,150,3,577115.0,7.0,1815,2380.0,29.532804,true,false,true,true,,baseline_hh_v305,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\solutions\wrapper__baseline_hh_v305\prob_6.solution.json
prob_6.json,150,3,577115.0,7.0,1815,2380.0,30.203362,true,false,true,true,,v304_direct,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_20260629_001\solutions\direct__v304_direct\prob_6.solution.json
