instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_1.json,100,2,606628.0,8.0,1700,1810.0,22.564080,true,false,true,true,,baseline_hh_v305_alias_full,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\solutions\wrapper__baseline_hh_v305_alias_full\prob_1.solution.json
prob_1.json,100,2,606628.0,8.0,1700,1810.0,22.807273,true,false,true,true,,v304_direct_full_recheck,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\solutions\direct__v304_direct_full_recheck\prob_1.solution.json
prob_2.json,100,3,51940.0,0.0,814,292.0,15.771852,true,false,true,true,,baseline_hh_v305_alias_full,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\solutions\wrapper__baseline_hh_v305_alias_full\prob_2.solution.json
prob_2.json,100,3,51940.0,0.0,814,292.0,15.863352,true,false,true,true,,v304_direct_full_recheck,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\solutions\direct__v304_direct_full_recheck\prob_2.solution.json
prob_3.json,100,3,156780.0,0.0,1998,912.0,14.078590,true,false,true,true,,baseline_hh_v305_alias_full,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\solutions\wrapper__baseline_hh_v305_alias_full\prob_3.solution.json
prob_3.json,100,3,156780.0,0.0,1998,912.0,13.944333,true,false,true,true,,v304_direct_full_recheck,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\solutions\direct__v304_direct_full_recheck\prob_3.solution.json
prob_4.json,100,2,331591.0,6.0,1669,942.0,17.623103,true,false,true,true,,baseline_hh_v305_alias_full,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\solutions\wrapper__baseline_hh_v305_alias_full\prob_4.solution.json
prob_4.json,100,2,331591.0,6.0,1669,942.0,17.783897,true,false,true,true,,v304_direct_full_recheck,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\solutions\direct__v304_direct_full_recheck\prob_4.solution.json
prob_5.json,150,3,139455.0,0.0,1065,880.0,17.659812,true,false,true,true,,baseline_hh_v305_alias_full,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\solutions\wrapper__baseline_hh_v305_alias_full\prob_5.solution.json
prob_5.json,150,3,139455.0,0.0,1065,880.0,17.901774,true,false,true,true,,v304_direct_full_recheck,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\report.html,reports\ogc2026_reboot_v001\verify_active_v305_baseline_hh_py_alias_20260629_002\solutions\direct__v304_direct_full_recheck\prob_5.solution.json
