instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_1.json,100,2,693901.0,11.0,1700,1810.0,14.630213,true,false,true,true,,reboot_v152_recheck_20260625,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\report.html,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\solutions\baseline_hh__reboot_v152_recheck_20260625\prob_1.solution.json
prob_6.json,150,3,756030.0,9.0,1980,3170.0,35.380790,true,false,true,true,,reboot_v152_recheck_20260625,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\report.html,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\solutions\baseline_hh__reboot_v152_recheck_20260625\prob_6.solution.json
prob_11.json,200,4,17206722.0,739.0,407,2350.0,11.677212,true,false,true,true,,reboot_v152_recheck_20260625,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\report.html,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\solutions\baseline_hh__reboot_v152_recheck_20260625\prob_11.solution.json
prob_13.json,250,4,17775043.0,923.0,4390,4366.0,12.861032,true,false,true,true,,reboot_v152_recheck_20260625,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\report.html,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\solutions\baseline_hh__reboot_v152_recheck_20260625\prob_13.solution.json
prob_19.json,300,4,4715273.0,389.0,7056,4042.0,14.992521,true,false,true,true,,reboot_v152_recheck_20260625,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\report.html,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\solutions\baseline_hh__reboot_v152_recheck_20260625\prob_19.solution.json
prob_25.json,100,2,1454484.0,2089.0,241,3044.0,37.200503,true,false,true,true,,reboot_v152_recheck_20260625,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\report.html,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\solutions\baseline_hh__reboot_v152_recheck_20260625\prob_25.solution.json
prob_27.json,150,2,76200619.0,5541.0,2033,5796.0,51.640957,true,false,true,true,,reboot_v152_recheck_20260625,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\report.html,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\solutions\baseline_hh__reboot_v152_recheck_20260625\prob_27.solution.json
prob_33.json,200,3,26172225.0,3805.0,1094,5289.0,44.719567,true,false,true,true,,reboot_v152_recheck_20260625,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\report.html,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\solutions\baseline_hh__reboot_v152_recheck_20260625\prob_33.solution.json
prob_37.json,250,3,21777210.0,5234.0,4122,7193.0,28.055635,true,false,true,true,,reboot_v152_recheck_20260625,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\report.html,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\solutions\baseline_hh__reboot_v152_recheck_20260625\prob_37.solution.json
prob_38.json,250,3,151254848.0,11120.0,3894,9947.0,46.624537,true,false,true,true,,reboot_v152_recheck_20260625,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\report.html,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\solutions\baseline_hh__reboot_v152_recheck_20260625\prob_38.solution.json
prob_39.json,250,3,48160369.0,3521.0,194,8094.0,55.956502,true,false,true,true,,reboot_v152_recheck_20260625,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\report.html,reports\ogc2026_reboot_v001\verify_reboot_v152_recheck_20260625_001\solutions\baseline_hh__reboot_v152_recheck_20260625\prob_39.solution.json
