instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_26.json,150,3,32253881.0,2345.0,2778,6457.0,18.840990,true,false,true,true,,reboot_v122,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\report.html,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\solutions\v122__reboot_v122\prob_26.solution.json
prob_26.json,150,3,31708207.0,2305.0,2556,6385.0,23.574331,true,false,true,true,,reboot_v123,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\report.html,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\solutions\v123__reboot_v123\prob_26.solution.json
prob_31.json,200,4,39589844.0,2735.0,1843,11680.0,51.119276,true,false,true,true,,reboot_v122,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\report.html,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\solutions\v122__reboot_v122\prob_31.solution.json
prob_31.json,200,4,39589844.0,2735.0,1843,11680.0,52.395734,true,false,true,true,,reboot_v123,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\report.html,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\solutions\v123__reboot_v123\prob_31.solution.json
prob_37.json,250,3,17644653.0,3961.0,3660,7380.0,49.217380,true,false,true,true,,reboot_v122,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\report.html,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\solutions\v122__reboot_v122\prob_37.solution.json
prob_37.json,250,3,17644653.0,3961.0,3660,7380.0,49.110607,true,false,true,true,,reboot_v123,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\report.html,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\solutions\v123__reboot_v123\prob_37.solution.json
prob_39.json,250,3,48160369.0,3521.0,194,8094.0,57.789182,true,false,true,true,,reboot_v122,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\report.html,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\solutions\v122__reboot_v122\prob_39.solution.json
prob_39.json,250,3,48160369.0,3521.0,194,8094.0,59.912730,true,false,true,true,,reboot_v123,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\report.html,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\solutions\v123__reboot_v123\prob_39.solution.json
prob_40.json,250,4,5910122.0,8622.0,4587,11897.0,44.034364,true,false,true,true,,reboot_v122,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\report.html,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\solutions\v122__reboot_v122\prob_40.solution.json
prob_40.json,250,4,5910122.0,8622.0,4587,11897.0,44.334722,true,false,true,true,,reboot_v123,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\report.html,reports\ogc2026_reboot_v001\verify_v123_runtime_subset_20260620_001\solutions\v123__reboot_v123\prob_40.solution.json
